"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3500,"No Tournament Scores Available",2018-06-05,"Shell Houston Open",2006-04-23
3501,"No Tournament Scores Available",2018-06-05,"Tsuruya Open",2006-04-23
3502,"No Tournament Scores Available",2018-06-05,"Athens Regional Foundation Classic",2006-04-23
3503,"No Tournament Scores Available",2018-06-05,"Diablo Grande California Classic",2006-04-23
3504,"No Tournament Scores Available",2018-06-05,"Maekyung Open",2006-04-30
3505,"No Tournament Scores Available",2018-06-05,"Andalucia Open de Espana",2006-04-30
3506,"No Tournament Scores Available",2018-06-05,"Zurich Classic of New Orleans",2006-04-30
3507,"No Tournament Scores Available",2018-06-05,"The Crowns",2006-04-30
3508,"No Tournament Scores Available",2018-06-05,"Tessali-Metaponto Open",2006-04-30
3509,"No Tournament Scores Available",2018-06-05,"BMW Charity Pro-Am at The Cliffs",2006-04-30
3510,"No Tournament Scores Available",2018-06-05,"Wachovia Championship",2006-05-07
3511,"No Tournament Scores Available",2018-06-05,"Telecom Italia Open",2006-05-07
3512,"No Tournament Scores Available",2018-06-05,"Virginia Beach Open",2006-05-07
3513,"No Tournament Scores Available",2018-06-05,"SK Telecom Open",2006-05-07
3514,"No Tournament Scores Available",2018-06-05,"Parco di Monza Challenge",2006-05-14
3515,"No Tournament Scores Available",2018-06-05,"Quinn Direct British Masters",2006-05-14
3516,"No Tournament Scores Available",2018-06-05,"Japan PGA Championship",2006-05-14
3517,"No Tournament Scores Available",2018-06-05,"Aamby Valley Asian Masters",2006-05-14
3518,"No Tournament Scores Available",2018-06-05,"EDS Byron Nelson Championship",2006-05-14
3519,"No Tournament Scores Available",2018-06-05,"Rheem Classic",2006-05-14
3520,"No Tournament Scores Available",2018-06-05,"Corona Mazatlan Classic",2006-05-14
3521,"No Tournament Scores Available",2018-06-05,"Bank of America Colonial",2006-05-21
3522,"No Tournament Scores Available",2018-06-05,"Henrico County Open",2006-05-21
3523,"No Tournament Scores Available",2018-06-05,"Munsingwear Open KSB Cup",2006-05-21
3524,"No Tournament Scores Available",2018-06-05,"Telenet Trophy",2006-05-21
3525,"No Tournament Scores Available",2018-06-05,"Macau Open",2006-05-21
3526,"No Tournament Scores Available",2018-06-05,"Nissan Irish Open",2006-05-21
3527,"No Tournament Scores Available",2018-06-05,"BMW Championship",2006-05-28
3528,"No Tournament Scores Available",2018-06-05,"FedEx St. Jude Classic",2006-05-28
3529,"No Tournament Scores Available",2018-06-05,"Mitsubishi Diamond Cup",2006-05-28
3530,"No Tournament Scores Available",2018-06-05,"The Philippine Open",2006-05-28
3531,"No Tournament Scores Available",2018-06-05,"Tikida Hotels Moroccan Classic",2006-05-28
3532,"No Tournament Scores Available",2018-06-05,"The Celtic Manor Wales Open",2006-06-04
3533,"No Tournament Scores Available",2018-06-05,"The Memorial Tournament",2006-06-04
3534,"No Tournament Scores Available",2018-06-05,"JCB Classic Sendai",2006-06-04
3535,"No Tournament Scores Available",2018-06-05,"The Rex Hospital Open",2006-06-04
3536,"No Tournament Scores Available",2018-06-05,"Morson International Pro-Am",2006-06-04
3537,"No Tournament Scores Available",2018-06-05,"Barclays Classic",2006-06-11
3538,"No Tournament Scores Available",2018-06-05,"BA CA Golf Open",2006-06-11
3539,"No Tournament Scores Available",2018-06-05,"LaSalle Bank Open",2006-06-11
3540,"No Tournament Scores Available",2018-06-05,"Thomas Bjorn Open",2006-06-11
3541,"No Tournament Scores Available",2018-06-05,"Bangkok Airways Open",2006-06-11
3542,"No Tournament Scores Available",2018-06-05,"US OPEN CHAMPIONSHIP",2006-06-18
3543,"No Tournament Scores Available",2018-06-05,"Aa St Omer Open",2006-06-18
3544,"No Tournament Scores Available",2018-06-05,"Mandom Lucido Yomiuri Open",2006-06-18
3545,"No Tournament Scores Available",2018-06-05,"Knoxville Open",2006-06-18
3546,"No Tournament Scores Available",2018-06-05,"Lexus Open",2006-06-18
3547,"No Tournament Scores Available",2018-06-05,"Greater Vancouver Charity Classic",2006-06-18
3548,"No Tournament Scores Available",2018-06-05,"Booz Allen Classic",2006-06-25
