"Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Shell Houston Open",3500,2006-04-23,"PGA",NA,NA,2018-06-05
"Tsuruya Open",3501,2006-04-23,"JapanGolfTour",NA,NA,2018-06-05
"Athens Regional Foundation Classic",3502,2006-04-23,"webcom",NA,NA,2018-06-05
"Diablo Grande California Classic",3503,2006-04-23,"CAN3",NA,NA,2018-06-05
"Maekyung Open",3504,2006-04-30,"Asian Tour 2018",NA,NA,2018-06-05
"Andalucia Open de Espana",3505,2006-04-30,"european_tour",NA,NA,2018-06-05
"Zurich Classic of New Orleans",3506,2006-04-30,"PGA",NA,NA,2018-06-05
"The Crowns",3507,2006-04-30,"JapanGolfTour",NA,NA,2018-06-05
"Tessali-Metaponto Open",3508,2006-04-30,"european_challenge",NA,NA,2018-06-05
"BMW Charity Pro-Am at The Cliffs",3509,2006-04-30,"webcom",NA,NA,2018-06-05
"Wachovia Championship",3510,2006-05-07,"PGA",NA,NA,2018-06-05
"Telecom Italia Open",3511,2006-05-07,"european_tour",NA,NA,2018-06-05
"Virginia Beach Open",3512,2006-05-07,"webcom",NA,NA,2018-06-05
"SK Telecom Open",3513,2006-05-07,"Asian Tour 2018",NA,NA,2018-06-05
"Parco di Monza Challenge",3514,2006-05-14,"european_challenge",NA,NA,2018-06-05
"Quinn Direct British Masters",3515,2006-05-14,"european_tour",NA,NA,2018-06-05
"Japan PGA Championship",3516,2006-05-14,"JapanGolfTour",NA,NA,2018-06-05
"Aamby Valley Asian Masters",3517,2006-05-14,"Asian Tour 2018",NA,NA,2018-06-05
"EDS Byron Nelson Championship",3518,2006-05-14,"PGA",NA,NA,2018-06-05
"Rheem Classic",3519,2006-05-14,"webcom",NA,NA,2018-06-05
"Corona Mazatlan Classic",3520,2006-05-14,"CAN3",NA,NA,2018-06-05
"Bank of America Colonial",3521,2006-05-21,"PGA",NA,NA,2018-06-05
"Henrico County Open",3522,2006-05-21,"webcom",NA,NA,2018-06-05
"Munsingwear Open KSB Cup",3523,2006-05-21,"JapanGolfTour",NA,NA,2018-06-05
"Telenet Trophy",3524,2006-05-21,"european_challenge",NA,NA,2018-06-05
"Macau Open",3525,2006-05-21,"Asian Tour 2018",NA,NA,2018-06-05
"Nissan Irish Open",3526,2006-05-21,"european_tour",NA,NA,2018-06-05
"BMW Championship",3527,2006-05-28,"european_tour",NA,NA,2018-06-05
"FedEx St. Jude Classic",3528,2006-05-28,"PGA",NA,NA,2018-06-05
"Mitsubishi Diamond Cup",3529,2006-05-28,"JapanGolfTour",NA,NA,2018-06-05
"The Philippine Open",3530,2006-05-28,"Asian Tour 2018",NA,NA,2018-06-05
"Tikida Hotels Moroccan Classic",3531,2006-05-28,"european_challenge",NA,NA,2018-06-05
"The Celtic Manor Wales Open",3532,2006-06-04,"european_tour",NA,NA,2018-06-05
"The Memorial Tournament",3533,2006-06-04,"PGA",NA,NA,2018-06-05
"JCB Classic Sendai",3534,2006-06-04,"JapanGolfTour",NA,NA,2018-06-05
"The Rex Hospital Open",3535,2006-06-04,"webcom",NA,NA,2018-06-05
