Tour_OWGR,Tour
ADT 2018,Asian Development Tour
Alps Golf Tour,Alps Golf Tour
Asian Tour 2018,Asian Tour
AUS Logo2,PGA Tour Australasia
Big Easy Tour,Big Easy Tour
CAN3,PGA Tour Canada
China Tour-CGA 2018,China Tour
CTPTC,China Tour - PGA Tour China Series
EPT Logo,EuroPro Tour
european_challenge,European Challenge Tour
european_tour,European Tour
JapanGolfTour,Japan Golf Tour
Korean Golf Tour 2,Korean Golf Tour
Major Combo 2,Major Championship
MENA TOUR 2017 REV,MENA Golf Tour
NGL Logo,Nordic Golf League
oneAsia,OneAsia Tour
PGA,PGA Tour
PGA Tour China Logo,PGA Tour China
pga_latinoamerica,PGA Tour Latinoamerica
PGT Logo,ProGolf Tour
Rio 2016,Olympic Golf Competition
sunshine_tour,Sunshine Tour
webcom,Web.com Tour
WGC,World Golf Championships
