"Rank","Player_Name","Player_Value","Player_ID","Num_Rounds","Sum_Primary","Sum_Weight","Primary_Ratio","Primary_Player","Country","Tour","Num_Rounds_Yr","Sum_Primary_Yr","Sum_Weight_Yr","Primary_Ratio_Yr","Primary_Player_Yr","Tour_Yr"
1,"Dustin Johnson",-2.51223268875877,"12422",250,49.0973086695124,49.0973086695124,1,1,"USA","PGA Tour",82,36.3511326915483,36.3511326915483,1,1,"PGA Tour"
2,"Justin Rose",-2.37771323136494,"6093",252,50.3010633732637,54.7007960038151,0.919567301539002,1,"ENG","PGA Tour",90,40.0060117224366,43.6567037224366,0.916377287135314,1,"PGA Tour"
3,"Justin Thomas",-2.25124221083097,"14139",269,53.1061165900128,53.2421740925704,0.997444553967292,1,"USA","PGA Tour",90,39.9922445914777,39.9922445914777,1,1,"PGA Tour"
4,"Rickie Fowler",-2.14483970449034,"12965",259,47.8654268207954,47.8654268207954,1,1,"USA","PGA Tour",86,38.3086375119629,38.3086375119629,1,1,"PGA Tour"
5,"Tony Finau",-2.06292201100928,"11676",305,59.9458448547305,59.9458448547305,1,1,"USA","PGA Tour",102,48.5948976590346,48.5948976590346,1,1,"PGA Tour"
6,"Jon Rahm",-2.05089843691661,"19195",221,51.9755991344716,51.9755991344716,1,1,"ESP","PGA Tour",86,38.4094652258468,38.4094652258468,1,1,"PGA Tour"
7,"Tiger Woods",-1.94437254512179,"5321",82,32.6866055061807,32.6866055061807,1,1,"USA","PGA Tour",72,31.7449777377523,31.7449777377523,1,1,"PGA Tour"
8,"Patrick Cantlay",-1.89166670349445,"15466",144,46.8908733402004,46.8908733402004,1,1,"USA","PGA Tour",88,41.3344028247145,41.3344028247145,1,1,"PGA Tour"
9,"Jason Day",-1.85127742850044,"9771",219,46.541425744538,47.2250549039452,0.985524015571866,1,"AUS","PGA Tour",72,34.7150265656428,34.7150265656428,1,1,"PGA Tour"
10,"Brooks Koepka",-1.84859043511784,"16243",242,47.9880167466334,52.0191259129406,0.922507172207129,1,"USA","PGA Tour",74,35.1382594134481,38.3701907925727,0.915769733942784,1,"PGA Tour"
11,"Webb Simpson",-1.84802329546614,"11049",265,53.3009820206357,53.3009820206357,1,1,"USA","PGA Tour",90,39.6717203167089,39.6717203167089,1,1,"PGA Tour"
12,"Rory McIlroy",-1.8087739713151,"10091",231,50.491145312324,50.491145312324,1,1,"NIR","PGA Tour",89,39.4844573310918,39.4844573310918,1,1,"PGA Tour"
13,"Tommy Fleetwood",-1.80139504679812,"12294",295,64.0554494230309,64.0554494230309,1,1,"ENG","European Tour",108,52.1230601116837,52.1230601116837,1,1,"European Tour"
14,"Bryson DeChambeau",-1.78844811460166,"19841",258,53.4334175970323,53.6387843337326,0.996171301433259,1,"USA","PGA Tour",94,40.3439639075543,40.3439639075543,1,1,"PGA Tour"
15,"Henrik Stenson",-1.68984700998586,"5994",228,40.3890342562244,44.0397262562244,0.917104571023894,1,"SWE","PGA Tour",76,31.5515677727606,35.2022597727606,0.896293816829768,1,"PGA Tour"
16,"Gary Woodland",-1.68131314360563,"12577",287,60.2625712421602,60.2625712421602,1,1,"USA","PGA Tour",95,45.7527875036655,45.7527875036655,1,1,"PGA Tour"
17,"Paul Casey",-1.67025248558188,"7108",252,49.3143795426469,49.3143795426469,1,1,"ENG","PGA Tour",80,35.7190855521069,35.7190855521069,1,1,"PGA Tour"
18,"Marc Leishman",-1.63119695447923,"7649",282,55.5742117418615,55.5742117418615,1,1,"AUS","PGA Tour",94,41.3215700191565,41.3215700191565,1,1,"PGA Tour"
19,"Xander Schauffele",-1.60792661716951,"19895",293,59.6500356158892,61.7330876946524,0.966257121479707,1,"USA","PGA Tour",101,46.8571418295111,46.8571418295111,1,1,"PGA Tour"
20,"Louis Oosthuizen",-1.5203037818463,"7672",236,48.8199576701015,49.6922191714911,0.982446718702995,1,"RSA","PGA Tour",84,41.0508806659856,41.9231421673752,0.97919379473258,1,"PGA Tour"
21,"Alex Noren",-1.50213395811799,"10419",244,48.2210588715129,48.2210588715129,1,1,"SWE","European Tour",84,38.5035396673345,38.5035396673345,1,1,"PGA Tour"
22,"Tyrrell Hatton",-1.49395677144318,"14796",260,50.043809606386,50.043809606386,1,1,"ENG","European Tour",86,39.941271897899,39.941271897899,1,1,"PGA Tour"
23,"Sergio Garcia",-1.47946202527556,"5689",232,43.3497573883121,44.4009875085298,0.976324172519457,1,"ESP","PGA Tour",73,33.3504722501779,34.2227337515676,0.974512220218244,1,"European Tour"
24,"Jordan Spieth",-1.46404211865812,"14636",256,41.8257509841207,42.6832936993545,0.979909171928623,1,"USA","PGA Tour",82,33.3915158206976,33.3915158206976,1,1,"PGA Tour"
25,"Francesco Molinari",-1.35339255833753,"7655",270,52.8431150293945,52.8431150293945,1,1,"ITA","PGA Tour",86,38.4639960672252,38.4639960672252,1,1,"PGA Tour"
26,"Patrick Reed",-1.35048615467309,"14838",334,63.3966383902808,63.3966383902808,1,1,"USA","PGA Tour",100,46.3230491904366,46.3230491904366,1,1,"PGA Tour"
27,"Rafael Cabrera Bello",-1.29493246249112,"7457",310,59.5146371666789,59.5146371666789,1,1,"ESP","European Tour",102,47.417339660864,47.417339660864,1,1,"PGA Tour"
28,"Emiliano Grillo",-1.21865577658113,"12808",305,54.547402820589,57.9871593834685,0.940680719672221,1,"ARG","PGA Tour",104,44.3324917487357,47.5644231278602,0.932051496337155,1,"PGA Tour"
29,"Zach Johnson",-1.20204598364835,"6986",257,43.2514627925791,43.2514627925791,1,1,"USA","PGA Tour",81,33.8756651333395,33.8756651333395,1,1,"PGA Tour"
30,"Hideki Matsuyama",-1.1497658191614,"13562",254,46.5584404760955,53.053535202537,0.877574704463221,1,"JPN","PGA Tour",84,37.4138258659822,42.9969873234199,0.870149938286571,1,"PGA Tour"
31,"Matt Kuchar",-1.11888454248102,"6169",304,52.5207257068375,56.0461848960339,0.937097249424985,1,"USA","PGA Tour",94,37.242537341231,40.4744687203556,0.920148886908079,1,"PGA Tour"
32,"Kyle Stanley",-1.11724626560269,"12069",277,49.2125509059105,49.2125509059105,1,1,"USA","PGA Tour",88,38.8522551953163,38.8522551953163,1,1,"PGA Tour"
33,"Phil Mickelson",-1.11092962180928,"1547",249,43.0607263623426,43.0607263623426,1,1,"USA","PGA Tour",85,34.707699024838,34.707699024838,1,1,"PGA Tour"
34,"Daniel Berger",-1.10845203732913,"17606",243,35.0125414061231,35.0125414061231,1,1,"USA","PGA Tour",68,25.2708229324208,25.2708229324208,1,1,"PGA Tour"
35,"Adam Scott",-1.09228801574335,"6430",236,40.7565757260062,43.9053898948226,0.92828183108362,1,"AUS","PGA Tour",82,33.4174645658543,36.1928340098361,0.923317156008632,1,"PGA Tour"
36,"Steve Stricker",-1.07618366645445,"4818",141,19.046459946823,19.046459946823,1,1,"USA","PGA Tour",40,14.6813947795553,14.6813947795553,1,0,"PGA Tour"
37,"Luke List",-1.04490450509517,"7960",279,47.5859902163153,47.5859902163153,1,1,"USA","PGA Tour",91,37.2800043855988,37.2800043855988,1,1,"PGA Tour"
38,"Keegan Bradley",-1.04284883012389,"13872",287,55.7829952138454,59.0149265929699,0.945235357125573,1,"USA","PGA Tour",99,41.856011406951,45.0879427860756,0.928319386970952,1,"PGA Tour"
39,"Charles Howell III",-1.02317898799588,"6892",271,53.889136886143,53.889136886143,1,1,"USA","PGA Tour",96,40.7126902866044,40.7126902866044,1,1,"PGA Tour"
40,"Billy Horschel",-1.02233309104738,"11276",257,54.4813190484321,54.4813190484321,1,1,"USA","PGA Tour",97,43.1391698225076,43.1391698225076,1,1,"PGA Tour"
41,"Adam Hadwin",-0.996084972179623,"13965",282,48.8306434813214,48.8306434813214,1,1,"CAN","PGA Tour",91,38.8161630968049,38.8161630968049,1,1,"PGA Tour"
42,"Cameron Champ",-0.974137725313351,"23542",115,22.7755506920074,53.0817138760417,0.429065850156867,0,"USA","Web.com Tour",101,17.5069073583101,47.8130705423443,0.366153170246733,0,"Web.com Tour"
43,"Byeong Hun An",-0.973759291663665,"14459",282,51.2735229694216,57.1102571436361,0.897798846194393,1,"KOR","PGA Tour",104,41.4740549956265,47.1630009886017,0.879376929505606,1,"PGA Tour"
44,"Lucas Glover",-0.959549046367977,"7399",242,34.5634522376032,42.9518250317542,0.804702762037481,1,"USA","PGA Tour",75,24.8905656174755,33.2789384116265,0.747937488558218,1,"PGA Tour"
45,"Cameron Smith",-0.958241875358349,"15856",267,49.232459805564,53.5427616654192,0.919497954050452,1,"AUS","PGA Tour",94,41.1022696011301,44.3342009802546,0.927100718910803,1,"PGA Tour"
46,"Ian Poulter",-0.935906442791946,"1435",267,55.1870099837853,55.3038471906833,0.997887358423816,1,"ENG","PGA Tour",90,39.7757559448509,39.7757559448509,1,1,"PGA Tour"
47,"Kevin Na",-0.922205289317588,"7452",267,48.6335185147752,50.6575368606672,0.960045069868694,1,"USA","PGA Tour",92,39.7970413599529,41.5018221806274,0.958922747698768,1,"PGA Tour"
48,"Thorbjorn Olesen",-0.92012883875553,"13412",251,48.8628494715021,48.8628494715021,1,1,"DEN","European Tour",80,38.0459675100854,38.0459675100854,1,1,"European Tour"
49,"Matthew Fitzpatrick",-0.910371196750559,"17646",276,56.7662336558225,56.7662336558225,1,1,"ENG","European Tour",91,44.9896679114001,44.9896679114001,1,1,"European Tour"
50,"Aaron Wise",-0.903269156188525,"22051",208,41.3787628729129,46.6756761993772,0.886516623694143,1,"USA","PGA Tour",80,34.0211052403629,34.0211052403629,1,1,"PGA Tour"
51,"Chez Reavie",-0.879895379392174,"7961",271,49.5599586440085,49.5599586440085,1,1,"USA","PGA Tour",86,38.6364260260183,38.6364260260183,1,1,"PGA Tour"
52,"Ryan Moore",-0.855956639249297,"7489",243,47.3137053526867,47.3137053526867,1,1,"USA","PGA Tour",84,38.6675872982727,38.6675872982727,1,1,"PGA Tour"
53,"Pat Perez",-0.833396245620185,"6762",206,44.7317272797362,45.6039887811258,0.980873131392607,1,"USA","PGA Tour",82,35.6688601406544,36.541121642044,0.976129317815302,1,"PGA Tour"
54,"Branden Grace",-0.826888073613657,"11952",285,59.2283697809603,59.3452069878582,0.99803122757796,1,"RSA","PGA Tour",100,48.8970726946,48.8970726946,1,1,"PGA Tour"
55,"J.B. Holmes",-0.818356933739979,"7959",251,44.7424129692589,44.7424129692589,1,1,"USA","PGA Tour",85,36.2416269996635,36.2416269996635,1,1,"PGA Tour"
56,"Abraham Ancer",-0.810957287674937,"18238",269,45.4922826039316,56.3153472877053,0.807813230228688,1,"MEX","PGA Tour",102,42.6342911424622,45.8662225215867,0.92953569748188,1,"PGA Tour"
57,"Lee Westwood",-0.809408481363124,"4052",226,44.270647549624,44.472805092085,0.995454355936342,1,"ENG","European Tour",64,33.7064970247598,33.7064970247598,1,1,"European Tour"
58,"Shane Lowry",-0.800081842885829,"13900",256,53.5866315721505,53.5866315721505,1,1,"IRL","PGA Tour",94,43.549239640622,43.549239640622,1,1,"PGA Tour"
59,"C.T. Pan",-0.792040178245395,"15475",282,52.6208581980442,53.971407920727,0.974976570471044,1,"TPE","PGA Tour",98,43.9081096233588,43.9081096233588,1,1,"PGA Tour"
60,"Kevin Tway",-0.78554069053753,"13127",291,56.0495874342778,57.4253265573322,0.976042989991864,1,"USA","PGA Tour",102,43.0633145324224,43.0633145324224,1,1,"PGA Tour"
61,"Joost Luiten",-0.778182448756317,"10158",230,31.206598943809,31.206598943809,1,1,"NED","European Tour",47,20.3014198931638,20.3014198931638,1,0,"European Tour"
62,"Bubba Watson",-0.772167391141566,"7334",230,44.1370349445315,44.1370349445315,1,1,"USA","PGA Tour",75,32.1837282356986,32.1837282356986,1,1,"PGA Tour"
63,"Charley Hoffman",-0.760245594889665,"5768",288,47.7579916453229,47.7579916453229,1,1,"USA","PGA Tour",86,36.4527059076127,36.4527059076127,1,1,"PGA Tour"
64,"Haotong Li",-0.751995615162554,"15310",263,56.1006677297838,56.2880208311093,0.996671527999045,1,"CHN","European Tour",94,45.4389243181667,45.4389243181667,1,1,"European Tour"
65,"Austin Cook",-0.749995360974544,"18579",282,46.9961122601666,55.7314063979437,0.84326083437759,1,"USA","Web.com Tour",105,44.398535439606,44.398535439606,1,1,"PGA Tour"
66,"Andrew Putnam",-0.721772666131439,"14704",262,43.4246174732147,54.1868905435058,0.80138603705909,1,"USA","Web.com Tour",91,37.3019064424344,40.5338378215589,0.92026584323566,1,"PGA Tour"
67,"Eddie Pepperell",-0.720399417928924,"15113",205,40.0709398840372,40.3061318589101,0.994164858694551,1,"ENG","European Tour",69,31.1650038023917,31.1650038023917,1,1,"European Tour"
68,"Kiradech Aphibarnrat",-0.711781650209796,"12321",292,53.9250619051087,57.2921579981636,0.941229372208971,1,"THA","European Tour",98,43.1176055289289,44.1971600108386,0.975574121014903,1,"European Tour"
69,"Kevin Kisner",-0.698900900376837,"11328",264,43.7173071525977,43.7173071525977,1,1,"USA","PGA Tour",80,33.3693335100703,33.3693335100703,1,1,"PGA Tour"
70,"Kevin Chappell",-0.693696815930982,"13305",261,44.1619364618712,44.1619364618712,1,1,"USA","PGA Tour",82,34.2316799966818,34.2316799966818,1,1,"PGA Tour"
71,"Joaquin Niemann",-0.684375122169516,"18079",79,33.7306947579577,34.7578095500979,0.970449380860444,1,"CHI","PGA Tour",63,33.1892963199897,33.1892963199897,1,1,"PGA Tour"
72,"Russell Henley",-0.673873203078516,"14578",245,41.4204403584717,41.4204403584717,1,1,"USA","PGA Tour",76,31.9731894854529,31.9731894854529,1,1,"PGA Tour"
73,"Stewart Cink",-0.668242450468281,"5665",243,43.4895156429214,43.4895156429214,1,1,"USA","PGA Tour",83,34.1455139439995,34.1455139439995,1,1,"PGA Tour"
74,"Brandt Snedeker",-0.66114159035314,"8820",248,50.2141887660809,53.6799029646573,0.935437398222233,1,"USA","PGA Tour",98,41.1002105545527,44.3321419336772,0.927097333037514,1,"PGA Tour"
75,"Beau Hossler",-0.650864999795643,"15470",195,46.9675875220793,51.9720933906057,0.903707825834258,1,"USA","PGA Tour",100,42.2567784136869,42.2567784136869,1,1,"PGA Tour"
76,"Danny Lee",-0.633803618051031,"11826",284,48.362283524504,48.4722156524743,0.997732058943654,1,"NZL","PGA Tour",87,38.7360360934595,38.7360360934595,1,1,"PGA Tour"
77,"Denny McCarthy",-0.631400630824698,"19870",252,33.9927492336243,51.923880558907,0.654665037892535,1,"USA","Web.com Tour",85,32.0924038456814,41.6366791649185,0.770772417237379,1,"PGA Tour"
78,"Thomas Pieters",-0.621462921163044,"13944",245,50.9754403274824,50.9754403274824,1,1,"BEL","European Tour",90,41.8323925109625,41.8323925109625,1,1,"European Tour"
79,"Dylan Frittelli",-0.614416459532087,"11955",334,53.626969036492,66.2055549512173,0.810007091942758,1,"RSA","European Tour",106,42.5628837468217,52.1071590660588,0.816833704037917,1,"European Tour"
80,"Peter Uihlein",-0.611685758901301,"11357",225,49.3965185044791,50.6348320702751,0.97554423476556,1,"USA","PGA Tour",92,41.2638837582139,41.2638837582139,1,1,"PGA Tour"
81,"Graham Delaet",-0.606919444330796,"10252",143,7.06095542358369,7.06095542358369,1,1,"CAN","PGA Tour",0,0,0,NA,0,NA
82,"Scott Piercy",-0.585878466817608,"7899",239,47.7319364789398,47.7319364789398,1,1,"USA","PGA Tour",84,37.2876540439251,37.2876540439251,1,1,"PGA Tour"
83,"Chesson Hadley",-0.569168066635126,"14967",272,46.8148616230637,52.6374680033782,0.889382855954605,1,"USA","PGA Tour",97,41.8652863575568,41.8652863575568,1,1,"PGA Tour"
84,"Andy Sullivan",-0.565105521451509,"15326",276,56.0402058999525,56.0402058999525,1,1,"ENG","European Tour",98,46.0082436553776,46.0082436553776,1,1,"European Tour"
85,"Shugo Imahira",-0.552246465896057,"13485",274,2.20806316083278,63.8199929743816,0.0345982984003012,0,"JPN","Japan Golf Tour",95,1.90105468162583,51.6762578497621,0.0367877776125498,0,"Japan Golf Tour"
86,"J.J Spaun",-0.547526367480582,"17536",267,50.3907833112922,51.7559775460659,0.973622481894799,1,"USA","PGA Tour",85,42.0819411561309,42.0819411561309,1,1,"PGA Tour"
87,"Nick Watney",-0.537816877209237,"7955",182,50.0547846303283,50.0547846303283,1,1,"USA","PGA Tour",100,43.8757275938824,43.8757275938824,1,1,"PGA Tour"
88,"Russell Knox",-0.533552742481595,"13831",287,52.6886643809457,52.6886643809457,1,1,"SCO","PGA Tour",100,42.3896099774344,42.3896099774344,1,1,"PGA Tour"
89,"Harold Varner III",-0.519041733575468,"16602",306,56.1894353015888,56.9886130887714,0.985976535594264,1,"USA","PGA Tour",97,44.2350383547975,44.2350383547975,1,1,"PGA Tour"
90,"Jimmy Walker",-0.517563459359416,"7293",236,39.5507565869676,39.5507565869676,1,1,"USA","PGA Tour",83,33.1076587302382,33.1076587302382,1,1,"PGA Tour"
91,"Martin Laird",-0.516698475154887,"9586",229,39.3093682986407,39.3093682986407,1,1,"SCO","PGA Tour",71,30.8625137192101,30.8625137192101,1,1,"PGA Tour"
92,"Chris Kirk",-0.509942719906265,"12423",278,55.1530049448977,55.1530049448977,1,1,"USA","PGA Tour",104,45.7156034449934,45.7156034449934,1,1,"PGA Tour"
93,"Jason Kokrak",-0.508938205730531,"12337",279,50.3860294635446,50.3860294635446,1,1,"USA","PGA Tour",93,39.8213303298487,39.8213303298487,1,1,"PGA Tour"
94,"Matt Wallace",-0.50846809668968,"20706",244,62.9781682794767,64.4552191158168,0.977084077028951,1,"ENG","European Tour",108,54.6499624551176,54.6499624551176,1,1,"European Tour"
95,"Bud Cauley",-0.493192776452623,"14502",199,30.1630850718983,30.1630850718983,1,1,"USA","PGA Tour",50,20.6623975788954,20.6623975788954,1,0,"PGA Tour"
96,"Siwoo Kim",-0.488988300989816,"14609",286,54.2619664176954,54.3752985083864,0.997915743107625,1,"KOR","PGA Tour",102,45.0739410129097,45.0739410129097,1,1,"PGA Tour"
97,"Ryan Armour",-0.488255009215867,"8469",270,55.1063151528191,57.7579499225292,0.954090566350317,1,"USA","PGA Tour",109,48.1034898628907,48.1034898628907,1,1,"PGA Tour"
98,"Alexander Bjork",-0.480165779544309,"14775",270,50.8996227163242,52.4764999411793,0.969950792704875,1,"SWE","European Tour",85,39.9460121747223,39.9460121747223,1,1,"European Tour"
99,"Patrick Rodgers",-0.475951395361327,"16283",249,48.0517682124628,48.0517682124628,1,1,"USA","PGA Tour",90,38.8508166337539,38.8508166337539,1,1,"PGA Tour"
100,"Brian Gay",-0.473425955050159,"5951",241,56.5592530515854,56.7646197882856,0.996382134902582,1,"USA","PGA Tour",105,48.1981260691901,48.1981260691901,1,1,"PGA Tour"
101,"Jim Furyk",-0.470966170340974,"2881",159,29.4365599599487,29.4365599599487,1,1,"USA","PGA Tour",56,24.8616029848094,24.8616029848094,1,0,"PGA Tour"
102,"Julian Suri",-0.461763367812547,"18059",208,39.9761205188937,52.3216045397335,0.764046150162224,1,"USA","European Tour",92,32.4782883982362,42.0225637174732,0.772877366944928,1,"European Tour"
103,"Jamie Lovemark",-0.45447805205156,"11382",283,50.7425985966194,50.7425985966194,1,1,"USA","PGA Tour",90,40.5300847763407,40.5300847763407,1,1,"PGA Tour"
104,"Sam Ryder",-0.451080982188151,"16715",236,40.7081768110089,48.6982526056374,0.835926848149299,1,"USA","Web.com Tour",86,38.6630471757549,38.6630471757549,1,1,"PGA Tour"
105,"Lucas Bjerregaard",-0.437980918274194,"11619",275,58.8047579853734,58.8047579853734,1,1,"DEN","European Tour",94,48.042734314256,48.042734314256,1,1,"European Tour"
106,"Tom Lewis",-0.435441962275989,"15164",204,40.9663164003339,52.4412265614926,0.781185320909625,1,"ENG","European Tour",82,33.2402623947143,44.6034750160656,0.745239297672247,1,"European Tour"
107,"Bronson Burgoon",-0.427138040981037,"11082",181,33.5304383909469,37.5364685281247,0.893276317824723,1,"USA","PGA Tour",70,31.058609408139,31.058609408139,1,1,"PGA Tour"
108,"Ryan Palmer",-0.425534766899768,"7820",208,37.0271817716915,37.0271817716915,1,1,"USA","PGA Tour",75,32.1309923338237,32.1309923338237,1,1,"PGA Tour"
109,"Joel Dahmen",-0.411882166106137,"14509",240,48.4026149040568,51.6430754710651,0.937252757752123,1,"USA","PGA Tour",93,42.7873682639743,42.7873682639743,1,1,"PGA Tour"
110,"Sungjae Im",-0.407959757344381,"17488",294,17.8052453080056,69.8686876179382,0.254838696919136,0,"KOR","Japan Golf Tour",119,17.8052453080056,56.5785948904953,0.314699319459357,0,"Web.com Tour"
111,"Anders Albertson",-0.392517831645532,"21235",246,13.8056228663226,56.5660572858797,0.244061960983956,0,"USA","Web.com Tour",103,13.7035797394044,48.7936941849326,0.280847350632371,0,"Web.com Tour"
112,"Andrea Pavan",-0.391812610454018,"12177",224,46.8213756653823,52.9793018258115,0.88376732142157,1,"ITA","European Challenge Tour",90,44.2756100701235,44.2756100701235,1,1,"European Tour"
113,"Ryan Fox",-0.362690387387978,"11889",286,55.7411876910832,59.1666477308932,0.94210488220678,1,"NZL","European Tour",94,45.7183458528154,47.0880234328895,0.970912400219427,1,"European Tour"
