"Rank","Player_Name","Player_Value","Country","Player_ID"
1,"Dustin Johnson",-3.32307597805155,"USA","12422"
2,"Justin Rose",-3.00921168655163,"ENG","6093"
3,"Justin Thomas",-2.69145738118478,"USA","14139"
4,"Paul Casey",-2.68929319138026,"ENG","7108"
5,"Jason Day",-2.67064965551251,"AUS","9771"
6,"Rickie Fowler",-2.63425881536497,"USA","12965"
7,"Jon Rahm",-2.58421026741949,"ESP","19195"
8,"Henrik Stenson",-2.52665084077105,"SWE","5994"
9,"Rory McIlroy",-2.51520654933229,"NIR","10091"
10,"Brooks Koepka",-2.49001178768988,"USA","16243"
11,"Tiger Woods",-2.44521704722142,"USA","5321"
12,"Jordan Spieth",-2.42263764517799,"USA","14636"
13,"Francesco Molinari",-2.37636315877879,"ITA","7655"
14,"Patrick Reed",-2.29082555142426,"USA","14838"
15,"Patrick Cantlay",-2.22284725359343,"USA","15466"
16,"Hideki Matsuyama",-2.22206079673407,"JPN","13562"
17,"Tony Finau",-2.20295570846231,"USA","11676"
18,"Phil Mickelson",-2.1807908059727,"USA","1547"
19,"Webb Simpson",-2.16912094103381,"USA","11049"
20,"Tommy Fleetwood",-2.09496394554182,"ENG","12294"
21,"Alex Noren",-2.08533311983198,"SWE","10419"
22,"Steve Stricker",-2.05934235323094,"USA","4818"
23,"Marc Leishman",-2.04769658830403,"AUS","7649"
24,"Branden Grace",-2.03413930066529,"RSA","11952"
25,"Bryson DeChambeau",-2.0250532087803,"USA","19841"
26,"Emiliano Grillo",-1.98050726310672,"ARG","12808"
27,"Ryan Moore",-1.91476923775799,"USA","7489"
28,"Matt Kuchar",-1.85553373697863,"USA","6169"
29,"Zach Johnson",-1.85201044935985,"USA","6986"
30,"Bubba Watson",-1.82661966576575,"USA","7334"
31,"Rafael Cabrera Bello",-1.80232968704554,"ESP","7457"
32,"Sergio Garcia",-1.77934561073818,"ESP","5689"
33,"Louis Oosthuizen",-1.77867395125944,"RSA","7672"
34,"Charley Hoffman",-1.75094654468194,"USA","5768"
35,"Ian Poulter",-1.74533312683257,"ENG","1435"
36,"Tyrrell Hatton",-1.73850121498407,"ENG","14796"
37,"Charles Howell III",-1.73117750120286,"USA","6892"
38,"Russell Henley",-1.70583590710572,"USA","14578"
39,"Daniel Berger",-1.70490409451137,"USA","17606"
40,"Chesson Hadley",-1.68357901058449,"USA","14967"
41,"Matthew Fitzpatrick",-1.66500888423402,"ENG","17646"
42,"Brian Harman",-1.66197797459269,"USA","8825"
43,"Joaquin Niemann",-1.63367360229601,"CHI","18079"
44,"Luke List",-1.62800579355591,"USA","7960"
45,"Kyle Stanley",-1.61431186691506,"USA","12069"
46,"Adam Scott",-1.58748251483479,"AUS","6430"
47,"Pat Perez",-1.5822669950253,"USA","6762"
48,"Chez Reavie",-1.56398132527669,"USA","7961"
49,"Xander Schauffele",-1.54419424293212,"USA","19895"
50,"Keegan Bradley",-1.50033193145082,"USA","13872"
