"Rank","Player_Name","Player_Value","Country","Player_ID"
1,"Dustin Johnson",-4.59788404884169,"USA","12422"
2,"Justin Rose",-4.34731153799769,"ENG","6093"
3,"Justin Thomas",-4.24143237783253,"USA","14139"
4,"Jason Day",-4.17472522153022,"AUS","9771"
5,"Jon Rahm",-4.09435846247612,"ESP","19195"
6,"Rickie Fowler",-4.01270332339329,"USA","12965"
7,"Paul Casey",-3.967359071585,"ENG","7108"
8,"Jordan Spieth",-3.94601569976882,"USA","14636"
9,"Rory McIlroy",-3.93905045589326,"NIR","10091"
10,"Tiger Woods",-3.80814448117593,"USA","5321"
11,"Henrik Stenson",-3.79623259520767,"SWE","5994"
12,"Phil Mickelson",-3.6246675163857,"USA","1547"
13,"Patrick Cantlay",-3.61676132038099,"USA","15466"
14,"Brooks Koepka",-3.61528651263621,"USA","16243"
15,"Webb Simpson",-3.60735131522249,"USA","11049"
16,"Patrick Reed",-3.58230135341718,"USA","14838"
17,"Hideki Matsuyama",-3.54565994428079,"JPN","13562"
18,"Marc Leishman",-3.51159666135071,"AUS","7649"
19,"Tommy Fleetwood",-3.50115668014453,"ENG","12294"
20,"Francesco Molinari",-3.48240124022564,"ITA","7655"
21,"Tony Finau",-3.45514083028874,"USA","11676"
22,"Branden Grace",-3.3928240443705,"RSA","11952"
23,"Steve Stricker",-3.37037236418376,"USA","4818"
24,"Emiliano Grillo",-3.36252465810673,"ARG","12808"
25,"Ryan Moore",-3.35985497362218,"USA","7489"
26,"Alex Noren",-3.31330321262832,"SWE","10419"
27,"Matt Kuchar",-3.30343529572887,"USA","6169"
28,"Bryson DeChambeau",-3.29942273199308,"USA","19841"
29,"Rafael Cabrera Bello",-3.19738792210683,"ESP","7457"
30,"Sergio Garcia",-3.18239708050873,"ESP","5689"
31,"Luke List",-3.09825364491094,"USA","7960"
32,"Chesson Hadley",-3.08987779523728,"USA","14967"
33,"Zach Johnson",-3.07223194642602,"USA","6986"
34,"Adam Scott",-3.0666432688376,"AUS","6430"
35,"Louis Oosthuizen",-3.06599552209453,"RSA","7672"
